Topic,Section,Instructions,Reference,Question,ParentQuestion,QuestionNotes,Economy,ANSWER,LAW/Website,LINK,SUMMARY,CONFIDENCE,LATENCY_SECONDS,RUN_ID,EVAL_VERDICT,EVAL_JUSTIFICATION,EVAL_CORRECTED_ANSWER,EVAL_CORRECTED_LAW/Website,EVAL_CORRECTED_LINK,EVAL_CORRECTED_SUMMARY,EVAL_CONFIDENCE,EVAL_LATENCY_SECONDS
"Women, Business and the Law",Section 1. Work - Legal Framework,,WBL_1_1,"1.1. Does the law prohibit discrimination in recruitment based on marital status, parental status, or age? 01: Yes | 00: No",WBL_1,"Select “Yes” if the law explicitly prohibits employers from discriminating based on marital status, parental status, or age in recruitment. Also select “Yes” if the law mandates a broad prohibition of discrimination based on marital status, parental status, or age and a general prohibition of discrimination in recruitment.",Canada,Yes,Ontario Human Rights Code; Canada Human Rights Act (federal),https://www.ontario.ca/laws/statute/90h19,"Both provincial and federal human‑rights statutes prohibit discrimination in recruitment/employment on the bases asked. Ontario’s Human Rights Code (R.S.O. 1990, c. H.19) bars discrimination in employment because of age, marital status and family status (commonly used to capture parental responsibilities) and therefore applies to recruitment by Ontario employers (see Code provisions prohibiting discriminatory practices in employment). Federally regulated employers and employment practices are covered by the Canada Human Rights Act, which likewise prohibits discrimination on grounds including age and marital status (and has been interpreted to protect parental/family‑status related claims). Reasonable exceptions (e.g., bona fide occupational requirements or lawful age limits) and rebuttable defences exist under these statutes. Sources: Ontario Human Rights Code and Canada Human Rights Act (official government texts cited above).",0.9,18.73,fcfc232f-e05e-4548-95e6-d0acb029543f,Correct,"Ontario Human Rights Code (R.S.O. 1990, c. H.19) expressly prohibits employment discrimination on the grounds of age, marital status and family status (commonly used to cover parental responsibilities). The Canada Human Rights Act likewise prohibits discrimination in federally regulated employment on grounds including age and marital status, and federal tribunals have accepted family/parental‑status claims; both regimes allow bona fide occupational requirements and lawful age limits as defences. (Sources: Ontario Human Rights Code; Canada Human Rights Act.)",CORRECTED_LAW/Website:,,,,0.85,20.57
"Women, Business and the Law",Section 1. Work - Legal Framework,,WBL_1_1_1,1.1.1. Does the law prohibit discrimination in recruitment based on marital status? 01: Yes | 00: No,WBL_1_1,,Canada,Yes,Canadian Human Rights Act; Ontario Human Rights Code,https://laws-lois.justice.gc.ca/eng/acts/h-6/ ; https://www.ontario.ca/laws/statute/90h19,"Both federal and Ontario law prohibit discrimination in employment (including recruitment and hiring) on the ground of marital status. The Canadian Human Rights Act bars federally regulated employers and service providers from discriminating on prohibited grounds, including marital status. The Ontario Human Rights Code likewise prohibits discrimination in employment and recruitment in Ontario on enumerated grounds, expressly including “marital status.” These statutes therefore make it unlawful to refuse to recruit, hire, or otherwise treat an applicant less favourably because of their marital status. (Sources: Canadian Human Rights Act; Ontario Human Rights Code.)",0.9,14.78,fe8db81f-0329-4e1a-8ca0-9ec67de08793,Correct,"The Canadian Human Rights Act (R.S.C., 1985, c. H‑6) lists ""marital status"" among prohibited grounds of discrimination for federally regulated employment; the Ontario Human Rights Code (R.S.O. 1990, c. H.19), s.5(1), likewise expressly prohibits discrimination in employment and lists ""marital status."" Both statutes have been interpreted to cover recruitment and hiring. No contrary amendments were in force as of 1 Sept 2024.",CORRECTED_LAW/Website:,,,,0.95,19.52
"Women, Business and the Law",Section 1. Work - Policy Instruments,"This final part focuses on policy instruments that support the implementation of laws. These may include national policies and action plans, institutions responsible for monitoring and enforcing laws, access to justice measures, government programs and services, and statistical data. Only instruments that are in place and operational should be considered. For the purpose of this Part, the “Source” field refers to the official source of information that can be used as a reference to substantiate the answer. Sources can include, for example, the title of an action plan and its issuing agency, the names of institutions, courts, police units, governmental agencies, or the title of sex-disaggregated datasets and their respective issuing agencies. Please provide links to sources where feasible.",WBL_1_1,1.1. Does a specialized body receive complaints about gender discrimination in employment? 01: Yes | 00: No,WBL_1,"A specialized body refers to an entity or an institution that has been established in addition to courts with a constitutional and/or legislative mandate to protect and promote principles of equality. It may take such forms as a human rights commission, ombudsperson, labor tribunal, gender equality commission, etc. It is tasked to receive, investigate and adjudicate (or refer to the competent court) complaints of gender-based discrimination by public and private actors. In the case of discrimination in the workplace, employees do not have to exhaust internal structures before submitting a complaint to this specialized body. Answer (from WBL database) Do you want to propose a change to the answer? Source (from WBL database) Please click here to: 1) Indicate a different or additional source; 2) Add links; or 3) Add comments",Canada,Yes,"Canadian Human Rights Commission; Provincial and Territorial Human Rights Commissions and Tribunals (e.g., Ontario Human Rights Commission; British Columbia Human Rights Tribunal; Commission des droits de la personne et des droits de la jeunesse - Québec)","https://www.chrc-ccdp.gc.ca/eng, https://laws-lois.justice.gc.ca/eng/acts/h-6/, https://www.chrt-tcdp.gc.ca/eng, https://www.ohrc.on.ca/, https://bchrt.bc.ca/, https://www.cdpdj.qc.ca/","Federal and sub‑national human rights bodies receive and process complaints of gender discrimination in employment. At the federal level the Canadian Human Rights Commission (CHRC) accepts complaints under the Canadian Human Rights Act for federally regulated employers and refers matters to the Canadian Human Rights Tribunal for adjudication. Each province and territory operates a human rights commission/tribunal that receives complaints about employment discrimination on protected grounds (sex, pregnancy, gender identity, gender expression, etc.) in provincially regulated workplaces. These institutions provide intake, investigation, mediation, and adjudication or referral mechanisms and were operational as of 1 September 2024. (Specialized pay‑equity or employment‑equity compliance mechanisms also exist in some jurisdictions, but primary complaint intake for gender discrimination in employment is handled by the human rights commissions/tribunals noted above.)",0.9,17.91,3d62252b-8e26-4857-88dc-9f4b820560f7,Correct,"The answer accurately identifies the Canadian Human Rights Commission and Tribunal and provincial/territorial human rights commissions/tribunals (e.g., OHRC, BCHRT, CDPDJ) as the bodies that receive and process employment discrimination complaints. This is consistent with the Canadian Human Rights Act (R.S.C. 1985, c. H‑6) and provincial human rights legislation and official commission websites, which cover protected grounds including sex, pregnancy, gender identity and expression. The note about separate pay‑equity/employment‑equity mechanisms is also correct. Sources: CHRC, CHRT, OHRC, BCHRT, CDPDJ and federal/provincial human rights statutes.",CORRECTED_LAW/Website:,,,,0.95,14.98
"Women, Business and the Law",Section 1. Work - Policy Instruments,"This final part focuses on policy instruments that support the implementation of laws. These may include national policies and action plans, institutions responsible for monitoring and enforcing laws, access to justice measures, government programs and services, and statistical data. Only instruments that are in place and operational should be considered. For the purpose of this Part, the “Source” field refers to the official source of information that can be used as a reference to substantiate the answer. Sources can include, for example, the title of an action plan and its issuing agency, the names of institutions, courts, police units, governmental agencies, or the title of sex-disaggregated datasets and their respective issuing agencies. Please provide links to sources where feasible.",WBL_1_2,1.2. Does the government provide awareness-raising measures on fair recruitment policies free from discrimination based on gender? 01: Yes | 00: No,WBL_1,"Awareness-raising measures refer to a set of actions taken by the government to sensitize the private sector on how to implement fair recruitment practices. This includes, but is not limited to, the development of education and training, campaigns and public service announcements, publication and distribution of guidance notes, booklets, and best practice manuals, and the availability of free, comprehensive, and accurate information online through official government websites. Answer (from WBL database) Do you want to propose a change to the answer? 53",Canada,Yes,Employment and Social Development Canada – Employment Equity Program (with guidance/tools); Canadian Human Rights Commission guidance; Department for Women and Gender Equality (GBA+) and federal workplace inclusion initiatives,- Employment Equity Program (ESDC): https://www.canada.ca/en/employment-social-development/services/employment-equity.html,"The federal government provides multiple operational awareness-raising instruments on non‑discriminatory, gender‑neutral recruitment. ESDC’s Employment Equity Program and Federal Contractors’ Program publish guidance, outreach materials and employer tools to promote fair hiring in federally regulated workplaces and among federal contractors. The Canadian Human Rights Commission maintains employer guidance on preventing discrimination in recruitment and selection. Women and Gender Equality Canada provides GBA+ guidance and training to public institutions to support gender‑aware policy and program design, including recruitment practices. Treasury Board/PSC and other central agencies publish public‑service inclusive hiring guidance and learning resources. Provinces and territories (through human rights commissions and labour ministries) operate parallel awareness and guidance initiatives (e.g., Ontario Human Rights Commission). These constitute active, operational awareness‑raising measures available as of 1 September 2024. If a specific employer or jurisdiction has no targeted campaign, no separate federal instrument is identified beyond the above national programs.",0.9,31.68,ec610902-6b10-4cce-985b-e8675ac06fb8,Correct,"The A0 correctly identifies active federal awareness measures: Employment and Social Development Canada’s Employment Equity Program and Federal Contractors Program (Employment Equity Act obligations and employer tools), Canadian Human Rights Commission guidance on recruitment under the Canadian Human Rights Act, Women and Gender Equality Canada’s GBA+ guidance, and Treasury Board/PSC inclusive‑hiring resources. These sources constitute operational awareness‑raising as of 1 Sept 2024 (see Employment Equity Act/ESDC pages; CHRC recruitment guidance; WAGE GBA+ materials; PSC/TBS staffing guidance).",CORRECTED_LAW/Website:,,,,0.9,14.93
"Women, Business and the Law",Section 2. Pay - Legal Framework,"Definitions • Remuneration refers to the ordinary, basic, or minimum wage or salary and any additional emoluments payable directly or indirectly, whether in cash or in kind, by the employer to the worker and arising from the worker’s employment. • Work of equal value refers not only to the same or similar jobs, but also to different jobs of the same value.",WBL_2_1,2.1. Does the law mandate equal remuneration for work of equal value? 01: Yes | 00: No,WBL_2,,Canada,Yes,Pay Equity Act (federal); Canadian Human Rights Act; Ontario Pay Equity Act (provincial),https://www.canada.ca/en/employment-social-development/programs/pay-equity.html,"Canada’s statutory framework requires pay equity/equal remuneration for work of equal value. At the federal level the Pay Equity Act (S.C. 2018) obliges federally regulated employers and the federal public sector to identify female‑dominated job classes that are underpaid and to implement pay equity plans to remedy wage gaps. The Canadian Human Rights Act also prohibits discrimination (including on the basis of sex) in employment terms and compensation in federal jurisdiction. In the provinces, Ontario’s Pay Equity Act similarly establishes obligations to ensure equal pay for work of equal value for covered employers and public‑sector employers. Thus, binding federal and provincial statutes mandate equal remuneration for work of equal value within their respective jurisdictions. (Sources: federal Pay Equity program/legislation; Canadian Human Rights Act; Ontario Pay Equity Act.)",0.9,29.02,a0b9199f-b557-4423-898c-a6eeccbdc2df,Correct,"The federal Pay Equity Act (S.C. 2018, c. 25) imposes pay‑equity obligations on federally regulated employers and the federal public sector; the Canadian Human Rights Act prohibits sex‑based discrimination in employment terms including compensation; Ontario’s Pay Equity Act similarly mandates pay equity for covered employers. These citations accurately reflect binding statutory requirements as of 1 Sept 2024 (see Government of Canada Pay Equity program; consolidated statutes for the Pay Equity Act, Canadian Human Rights Act, and Ontario Pay Equity Act).",CORRECTED_LAW/Website:,,,,0.95,20.32
"Women, Business and the Law",Section 2. Pay - Legal Framework,"Definitions • Remuneration refers to the ordinary, basic, or minimum wage or salary and any additional emoluments payable directly or indirectly, whether in cash or in kind, by the employer to the worker and arising from the worker’s employment. • Work of equal value refers not only to the same or similar jobs, but also to different jobs of the same value.",WBL_2_1_1,2.1.1. Is there an equal pay Yes/No law? 01: Yes | 00: No,WBL_2_1,,Canada,Yes,"Pay Equity Act (Canada); Canadian Human Rights Act; Pay Equity Act, R.S.O. 1990, c. P.7 (Ontario)",- Pay Equity Act (Canada): https://laws-lois.justice.gc.ca/eng/acts/P-4.2/,"Canada has binding equal-pay legislation. At the federal level the Pay Equity Act requires federally regulated employers and federal public sector employers to implement and maintain pay equity (equal pay for work of equal value); the Canadian Human Rights Act also prohibits sex-based pay discrimination. Provinces have their own pay-equity regimes; for Ontario (the main business city, Toronto) the Pay Equity Act, R.S.O. 1990, c. P.7, provides statutory pay-equity protections. (Sources: Justice Laws Website and Ontario e-Laws as cited.)",0.9,24.17,655f8ee8-c622-47de-82a7-bc6773cbcbf3,Correct,"The federal Pay Equity Act (S.C. 2018, c. 25; Justice Laws: Pay Equity Act) and the Canadian Human Rights Act prohibit sex-based pay discrimination and require pay‑equity measures for federally regulated employers; provinces (including Ontario’s Pay Equity Act, R.S.O. 1990, c. P.7) maintain their own statutory regimes. The A0 citations and legal characterisation are accurate and current as of 1 September 2024.",CORRECTED_LAW/Website:,,,,0.95,15.9
"Women, Business and the Law",Section 2. Pay - Policy Instruments,"This final part focuses on policy instruments that support the implementation of laws. These may include national policies and action plans, institutions responsible for monitoring and enforcing laws, access to justice measures, government programs and services, and statistical data. Only instruments that are in place and operational should be considered. For the purpose of this Part, the “Source” field refers to the official source of information that can be used as a reference to substantiate the answer. Sources can include, for example, the title of an action plan and its issuing agency, the names of institutions, courts, police units, governmental agencies, or the title of sex-disaggregated datasets and their respective issuing agencies. Please provide links to sources where feasible.",WBL_2_1,2.1. Does the government publish anonymized sex disaggregated data on employment and salaries in different economic sectors? 01: Yes | 00: No,WBL_2,,Canada,Yes,"Statistics Canada — Labour Force Survey (LFS) and related labour surveys (SEPH, Job Vacancy and Wage Survey, Survey of Labour and Income Dynamics); Employment and Social Development Canada uses these data",- Labour Force Survey (overview): https://www.statcan.gc.ca/eng/survey/household/3701,"Statistics Canada routinely publishes anonymized, sex-disaggregated labour-market statistics by industry/sector. The Labour Force Survey provides monthly and annual employment counts by sex and NAICS industry and includes wage (average/median hourly earnings) breakdowns by sex for many industry groupings. Complementary sources — the Survey of Employment, Payrolls and Hours (SEPH), Job Vacancy and Wage Survey (JVWS) and longitudinal surveys (e.g., SLID/SLID successors) — supply industry-level payroll, vacancy and earnings information used in government reporting. These datasets are released as aggregated tables, public-use microdata files and custom tabulations (anonymized), and are used by federal departments (e.g., Employment and Social Development Canada, Department for Women and Gender Equality) for monitoring and policy analysis.",0.9,32.16,43bdcceb-b02c-4d94-bdba-3673ba3817e2,Correct,"Statistics Canada’s Labour Force Survey routinely publishes anonymized, sex-disaggregated employment and earnings statistics by industry (NAICS) on a monthly/annual basis; complementary Statistics Canada products (SEPH, Job Vacancy and Wage Survey, longitudinal income surveys) supply industry-level payroll/vacancy/earnings data used by federal departments (e.g., Employment and Social Development Canada, Department for Women and Gender Equality). The A0 citations therefore accurately support a “Yes” answer. (Sources: Statistics Canada LFS and related survey products; ESDC publications using StatsCan data.)",CORRECTED_LAW/Website:,,,,0.9,29.98
"Women, Business and the Law",Section 2. Pay - Policy Instruments,"This final part focuses on policy instruments that support the implementation of laws. These may include national policies and action plans, institutions responsible for monitoring and enforcing laws, access to justice measures, government programs and services, and statistical data. Only instruments that are in place and operational should be considered. For the purpose of this Part, the “Source” field refers to the official source of information that can be used as a reference to substantiate the answer. Sources can include, for example, the title of an action plan and its issuing agency, the names of institutions, courts, police units, governmental agencies, or the title of sex-disaggregated datasets and their respective issuing agencies. Please provide links to sources where feasible.",WBL_2_1_1,2.1.1. Does the government publish sex disaggregated data on employment in different economic sectors? 01: Yes | 00: No,WBL_2_1,"Sex-disaggregated data on occupational sex segregation include separate information about the number or share of women and men employed across sectors and industries. Data must be collected and published by a public entity, such as the national statistics office. Answer (from Do you want to propose Publication Source (from WBL WBL database) a change to the answer? Date database) Mining Construction Manufacturing  e.g., factories Agriculture  e.g., working with certain agricultural materials or equipment Transportation  e.g., train drivers, truck drivers Energy  e.g., electrician, working on oil rigs Water  e.g., plumbers 56",Canada,Yes,Statistics Canada — Labour Force Survey (LFS) data tables; Employment and Social Development Canada — Labour Market Information (uses LFS),https://www.statcan.gc.ca/en/survey/household/3701,"Statistics Canada’s Labour Force Survey (LFS) routinely publishes employment statistics disaggregated by sex across industries (NAICS) at national and provincial/territorial levels on a monthly and annual basis. Data tables and analytical products break out employment by industry, sex, age group, class of worker and region; microdata access (PUMFs, RDCs) is also available for more detailed analysis. Employment and Social Development Canada (ESDC) compiles and disseminates labour market information (drawing on LFS and other Statistics Canada sources) that is likewise presented by sex and industry. These operational instruments and public data releases were in place and accessible as of 1 September 2024.",0.9,30.06,efa485cd-a235-4d3f-9fc9-9cb58b3b81b7,Correct,"Statistics Canada’s Labour Force Survey (LFS) routinely publishes monthly and annual employment statistics by industry (NAICS) disaggregated by sex at national and provincial/territorial levels; microdata (PUMFs, RDC access) are available. Employment and Social Development Canada’s Labour Market Information portal draws on LFS and releases sex-by-industry labour statistics. The A0 citations (Statistics Canada LFS page and ESDC LMI) accurately reflect authoritative sources as of 1 Sept 2024.",CORRECTED_LAW/Website:,,,,0.95,17.37
"Women, Business and the Law",Section 3. Parenthood - Legal Framework,"Assumptions • Both parents work full-time. • They are married and have no other children, this is the couple’s first pregnancy, the woman is pregnant with only one child, the pregnancy and birth have no complications and that the birth of a healthy child takes place on October 1, 2024. • If cash benefits while on leave are not calculated as a set percentage of the employee’s income, assume the employee earns the minimum wage for the food retail sector. Definitions • Maternity leave refers to leave available only to the mother for the birth of a child to be taken just before, during and immediately after childbirth. • Paternity leave refers to leave available only to the father for the birth of a child. • Shared parental leave refers to parental leave that can be shared amongst the parents as they choose. “Parental leave” refers to leave available equally to parents— regardless of gender—for the purpose of childcare immediately following maternity and paternity leave or instead of maternity and paternity leave. • Parental leave for the mother refers to days of parental leave reserved specifically for mothers— through “use-it-or-lose-it” policies or mothers’ quotas; or an individual entitlement. • Parental leave for the father refers to days of parental leave reserved specifically for fathers— that is, through “use-it-or-lose-it” policies or fathers’ quotas; or an individual entitlement. Definitions • Maternity leave refers to leave available only to the mother for the birth of a child to be taken just before, during and immediately after childbirth. • Paternity leave refers to leave available only to the father for the birth of a child. • Shared parental leave refers to parental leave that can be shared amongst the parents as they choose. “Parental leave” refers to leave available equally to parents— regardless of gender—for the purpose of childcare immediately following maternity and paternity leave or instead of maternity and paternity leave. • Parental leave for the mother refers to days of parental leave reserved specifically for mothers— through “use-it-or-lose-it” policies or mothers’ quotas; or an individual entitlement. • Parental leave for the father refers to days of parental leave reserved specifically for fathers— that is, through “use-it-or-lose-it” policies or fathers’ quotas; or an individual entitlement.",WBL_3_1,3.1. Is there paid leave available to mothers? 01: Yes | 00: No,WBL_3,,Canada,Yes,"Employment Insurance Act (federal); Quebec Parental Insurance Plan Act (provincial, for Quebec)",https://laws-lois.justice.gc.ca/eng/acts/E-5.6/,"Federal law provides paid maternity benefits to mothers under the Employment Insurance Act and its program administration: eligible biological mothers can receive EI maternity benefits (generally up to 15 weeks) and parents can receive EI parental benefits (standard or extended options). Benefits are contributory (insurable earnings) and paid at prescribed rates (e.g., standard EI maternity/parental benefits at 55% of average insurable earnings up to a maximum; alternative extended/parental options exist). In Quebec an alternate statutory scheme (Quebec Parental Insurance Plan) provides paid maternity and parental benefits under provincial law with different rates/durations. Employment standards (e.g., Ontario) provide unpaid job‑protected pregnancy/parental leave; paid leave under federal EI or Quebec’s plan is the primary statutory source of paid leave for mothers. Sources: Employment Insurance Act and official federal/provincial program pages.",0.9,22.2,430b4a28-4366-4aa7-b1e3-c7302160d0ea,Correct,"The AI answer correctly identifies federal paid maternity/parental benefits under the Employment Insurance Act (maternity up to 15 weeks; parental benefits with standard and extended options) and Quebec’s alternative Parental Insurance Plan. These are the primary statutory paid-leave schemes for mothers in Canada; provincial employment standards generally provide unpaid job‑protected leave. Sources: Employment Insurance Act (R.S.C. 1985, c. E‑5.6) and Quebec’s Act respecting parental insurance (Que.), plus Service Canada/Quebec Parental Insurance Plan program pages.",CORRECTED_LAW/Website:,,,,0.9,15.88
"Women, Business and the Law",Section 3. Parenthood - Legal Framework,"Assumptions • Both parents work full-time. • They are married and have no other children, this is the couple’s first pregnancy, the woman is pregnant with only one child, the pregnancy and birth have no complications and that the birth of a healthy child takes place on October 1, 2024. • If cash benefits while on leave are not calculated as a set percentage of the employee’s income, assume the employee earns the minimum wage for the food retail sector. Definitions • Maternity leave refers to leave available only to the mother for the birth of a child to be taken just before, during and immediately after childbirth. • Paternity leave refers to leave available only to the father for the birth of a child. • Shared parental leave refers to parental leave that can be shared amongst the parents as they choose. “Parental leave” refers to leave available equally to parents— regardless of gender—for the purpose of childcare immediately following maternity and paternity leave or instead of maternity and paternity leave. • Parental leave for the mother refers to days of parental leave reserved specifically for mothers— through “use-it-or-lose-it” policies or mothers’ quotas; or an individual entitlement. • Parental leave for the father refers to days of parental leave reserved specifically for fathers— that is, through “use-it-or-lose-it” policies or fathers’ quotas; or an individual entitlement. Definitions • Maternity leave refers to leave available only to the mother for the birth of a child to be taken just before, during and immediately after childbirth. • Paternity leave refers to leave available only to the father for the birth of a child. • Shared parental leave refers to parental leave that can be shared amongst the parents as they choose. “Parental leave” refers to leave available equally to parents— regardless of gender—for the purpose of childcare immediately following maternity and paternity leave or instead of maternity and paternity leave. • Parental leave for the mother refers to days of parental leave reserved specifically for mothers— through “use-it-or-lose-it” policies or mothers’ quotas; or an individual entitlement. • Parental leave for the father refers to days of parental leave reserved specifically for fathers— that is, through “use-it-or-lose-it” policies or fathers’ quotas; or an individual entitlement.",WBL_3_1_1,3.1.1. How many days of paid maternity leave are employees legally entitled to? 01: Yes | 00: No,WBL_3_1,"“Days” refers to calendar days. Answer (from WBL Do you want to propose a change Your updated answer if you select database) to the answer? “Change” : This question should only be answered if “Change” is selected in response to the question “Do you want to propose a change to the answer?” Legal Basis (from WBL database) Has a new law or an amendment been enacted since October 2, 2023? : This question should only be answered if “Change” is selected in response to the question “Do you want to propose a change to the answer?” • Yes 25",Canada,105 days,Employment Insurance Act; Employment Insurance Regulations (federal); Canada Labour Code (job‑protection context),https://laws-lois.justice.gc.ca/eng/acts/E-5.6/; https://laws-lois.justice.gc.ca/eng/regulations/SOR-96-332/; https://www.canada.ca/en/services/benefits/ei/ei-maternity-parental.html; https://laws-lois.justice.gc.ca/eng/acts/L-2/,"Under Canada’s federal Employment Insurance (EI) program, maternity benefits are payable for up to 15 weeks (15 × 7 = 105 days) to eligible contributors (see the Employment Insurance Act and Regulations and the Government of Canada EI maternity/parental benefits guidance). These are publicly funded income‑replacement benefits (not a statutory employer-paid leave). Employment standards (including the Canada Labour Code for federally regulated employees and provincial statutes such as Ontario’s Employment Standards Act) provide job‑protected maternity leave (commonly 17 weeks) but do not require employer‑paid wages. Eligibility and benefit rates/maximums are set by the EI regime and subject to qualifying requirements.",0.5,18.46,5a8a8aef-4b2f-4d12-9ac7-d9046f336f9a,Correct,"The Employment Insurance Act and Regulations provide maternity benefits for up to 15 weeks (15 × 7 = 105 days) as publicly funded income‑replacement (see Employment Insurance Act; EI Regulations; Government of Canada EI maternity benefits page). The Canada Labour Code and provincial employment‑standards laws provide unpaid, job‑protected maternity leave (federal Code: 17 weeks), not mandatory employer‑paid wages. The A0 answer correctly distinguishes EI benefits from employer‑paid leave and correctly states 105 days of EI-paid maternity benefits.",CORRECTED_LAW/Website:,,,,0.95,18.5
